file_id,dial_a,dial_b,start_time,duration,service_id,hplmn,vplmn,external_charges
1,201676854197,google.com,2026-03-29 13:36:16,23630978,2,EGYVO,,0
1,201000000014,201223344556,2026-04-02 13:26:16,2497,1,EGYVO,,0
1,201000000029,fmrz-telecom.net,2026-04-03 09:30:16,81506614,2,EGYVO,,0
1,201794525581,201090000002,2026-04-03 02:55:16,1954,1,EGYVO,,0
1,201294527018,201090000003,2026-04-17 00:39:16,1,3,EGYVO,,0
1,201823251258,201000000008,2026-04-25 19:01:16,1,3,EGYVO,,0
1,201000000036,201090000001,2026-04-07 15:20:16,1,3,EGYVO,,0
1,201419798631,youtube.com,2026-04-05 21:00:16,55176601,2,EGYVO,,0
1,201612927003,201223344556,2026-04-04 07:48:16,1,3,EGYVO,,0
1,201551170592,201223344556,2026-04-09 15:43:16,1,3,EGYVO,,0
1,201804386862,201090000001,2026-04-12 07:30:16,1,3,EGYVO,,0
1,201963872713,201090000001,2026-04-13 02:35:16,3060,1,EGYVO,,0
1,201415772914,whatsapp.net,2026-04-18 04:15:16,91854994,2,EGYVO,,0
1,201247992617,201000000008,2026-04-19 05:42:16,143,1,EGYVO,,0
1,201963872713,201000000008,2026-04-09 18:43:16,1,3,EGYVO,,0
1,201000000009,201090000001,2026-04-05 18:03:16,1,3,EGYVO,,0
1,201000000035,201090000001,2026-04-05 21:28:16,1,3,EGYVO,,0
1,201000000046,youtube.com,2026-04-25 06:36:16,47079467,2,EGYVO,,0
1,201588461777,201090000003,2026-03-31 03:14:16,989,1,EGYVO,,0
1,201000000017,youtube.com,2026-04-05 12:20:16,8998631,2,EGYVO,,0
1,201000000031,youtube.com,2026-03-31 05:11:16,26619449,2,EGYVO,,0
1,201786256856,201223344556,2026-04-22 00:30:16,3206,1,EGYVO,,0
1,201959396391,201090000002,2026-04-07 17:07:16,976,1,EGYVO,,0
1,201822402301,fmrz-telecom.net,2026-04-07 01:27:16,98190540,2,EGYVO,,0
1,201612927003,201090000001,2026-04-13 09:47:16,1,3,EGYVO,,0
1,201876986908,201090000001,2026-04-07 22:01:16,224,1,EGYVO,,0
1,201810045245,201223344556,2026-04-18 00:30:16,679,1,EGYVO,,0
1,201000000032,201090000003,2026-04-13 15:22:16,2088,1,EGYVO,,0
1,201201464087,facebook.com,2026-04-02 21:23:16,38088192,2,EGYVO,,0
1,201247992617,201223344556,2026-04-11 14:46:16,1112,1,EGYVO,,0
1,201000000009,201090000001,2026-04-01 16:30:16,185,1,EGYVO,,0
1,201456552268,201223344556,2026-04-04 05:03:16,1,3,EGYVO,,0
1,201000000016,201000000008,2026-03-29 09:34:16,1,3,EGYVO,,0
1,201369193740,201223344556,2026-04-06 20:15:16,1763,1,EGYVO,,0
1,201984051677,facebook.com,2026-03-30 05:46:16,60809945,2,EGYVO,,0
1,201843280639,201090000002,2026-04-19 06:48:16,2127,1,EGYVO,,0
1,201180646329,google.com,2026-04-05 20:39:16,44074345,2,EGYVO,,0
1,201969150439,201223344556,2026-04-09 09:31:16,3501,1,EGYVO,,0
1,201247992617,youtube.com,2026-04-13 11:40:16,66242411,2,EGYVO,,0
1,201514384210,201090000001,2026-04-17 11:20:16,2971,1,EGYVO,,0
1,201761933488,201090000002,2026-04-17 01:14:16,2755,1,EGYVO,,0
1,201000000045,facebook.com,2026-04-07 17:20:16,21600821,2,EGYVO,,0
1,201439641087,201223344556,2026-04-13 20:28:16,1,3,EGYVO,,0
1,201829207178,fmrz-telecom.net,2026-03-31 04:55:16,59732870,2,EGYVO,,0
1,201566346296,201090000003,2026-04-02 15:00:16,1,3,EGYVO,,0
1,201841162185,whatsapp.net,2026-04-03 23:12:16,47881811,2,EGYVO,,0
1,201367704354,facebook.com,2026-04-25 16:44:16,104493617,2,EGYVO,,0
1,201000000002,fmrz-telecom.net,2026-04-18 13:50:16,43030965,2,EGYVO,,0
1,201837487594,201000000008,2026-04-15 23:10:16,3582,1,EGYVO,,0
1,201000000034,google.com,2026-04-28 05:08:16,22484960,2,EGYVO,,0
1,201734674691,201090000001,2026-04-11 01:46:16,1,3,EGYVO,,0
1,201716073175,201090000003,2026-04-03 11:20:16,1,3,EGYVO,,0
1,201186417806,google.com,2026-04-16 13:57:16,10602336,2,EGYVO,,0
1,201101050731,201000000008,2026-04-21 15:13:16,50,1,EGYVO,,0
1,201000000047,201090000002,2026-04-17 21:36:16,1,3,EGYVO,,0
1,201364202159,201223344556,2026-04-02 06:11:16,52,1,EGYVO,,0
1,201609398392,youtube.com,2026-04-13 11:51:16,46274113,2,EGYVO,,0
1,201729320424,201090000001,2026-04-01 01:30:16,2800,1,EGYVO,,0
1,201364202159,whatsapp.net,2026-04-11 04:31:16,53061866,2,EGYVO,,0
1,201435497758,youtube.com,2026-04-11 00:18:16,102199652,2,EGYVO,,0
1,201963108972,201090000003,2026-04-09 10:31:16,76,1,EGYVO,,0
1,201618539307,201000000008,2026-04-12 20:17:16,1910,1,EGYVO,,0
1,201676854197,youtube.com,2026-04-16 17:07:16,11252379,2,EGYVO,,0
1,201000000038,201090000003,2026-04-02 00:04:16,951,1,EGYVO,,0
1,201000000011,201090000001,2026-03-30 21:50:16,1,3,EGYVO,,0
1,201000000019,facebook.com,2026-04-24 14:41:16,42524629,2,EGYVO,,0
1,201000000042,201090000001,2026-04-16 18:45:16,1,3,EGYVO,,0
1,201959396391,201000000008,2026-04-16 06:18:16,1,3,EGYVO,,0
1,201420938771,201223344556,2026-04-10 13:27:16,1,3,EGYVO,,0
1,201643753872,whatsapp.net,2026-04-03 07:37:16,15980577,2,EGYVO,,0
1,201180646329,youtube.com,2026-04-10 09:08:16,90135445,2,EGYVO,,0
1,201751707273,201090000003,2026-04-17 19:28:16,1981,1,EGYVO,,0
1,201588461777,201090000003,2026-04-25 22:53:16,1,3,EGYVO,,0
1,201620761595,201090000003,2026-04-09 05:49:16,2206,1,EGYVO,,0
1,201621976276,201090000001,2026-03-31 18:29:16,1,3,EGYVO,,0
1,201822402301,201000000008,2026-04-28 21:08:16,1,3,EGYVO,,0
1,201506175428,youtube.com,2026-04-11 19:02:16,81169552,2,EGYVO,,0
1,201000000034,201000000008,2026-04-07 05:53:16,1990,1,EGYVO,,0
1,201706322141,201090000003,2026-04-17 07:25:16,2049,1,EGYVO,,0
1,201355718250,fmrz-telecom.net,2026-04-12 11:02:16,65398929,2,EGYVO,,0
1,201273662160,201223344556,2026-04-07 19:04:16,391,1,EGYVO,,0
1,201375089624,201090000002,2026-03-30 22:38:16,2903,1,EGYVO,,0
1,201618539307,201090000001,2026-04-12 02:35:16,2143,1,EGYVO,,0
1,201998135123,whatsapp.net,2026-04-23 18:41:16,68744919,2,EGYVO,,0
1,201612927003,201090000003,2026-04-02 05:12:16,1,3,EGYVO,,0
1,201000000039,201223344556,2026-04-26 19:10:16,1480,1,EGYVO,,0
1,201588461777,201223344556,2026-04-20 23:18:16,1,3,EGYVO,,0
1,201000000027,whatsapp.net,2026-04-14 12:24:16,7939296,2,EGYVO,,0
1,201621976276,fmrz-telecom.net,2026-04-27 15:43:16,18341827,2,EGYVO,,0
1,201000000026,fmrz-telecom.net,2026-04-01 13:42:16,14417705,2,EGYVO,,0
1,201000000015,201090000002,2026-04-02 17:57:16,1,3,EGYVO,,0
1,201753630998,201090000002,2026-04-18 09:10:16,1,3,EGYVO,,0
1,201861902084,201090000002,2026-04-04 20:30:16,3280,1,EGYVO,,0
1,201737477917,201090000003,2026-04-10 07:25:16,2310,1,EGYVO,,0
1,201761933488,facebook.com,2026-04-23 13:05:16,98903491,2,EGYVO,,0
1,201593328546,facebook.com,2026-04-02 10:41:16,49239541,2,EGYVO,,0
1,201000000048,google.com,2026-04-07 02:43:16,5881277,2,EGYVO,,0
1,201859152403,201090000001,2026-04-19 03:30:16,3527,1,EGYVO,,0
1,201254418036,facebook.com,2026-04-03 18:47:16,45472121,2,EGYVO,,0
1,201000000029,201090000001,2026-04-07 19:06:16,1,3,EGYVO,,0
1,201963872713,201090000002,2026-04-28 22:55:16,2056,1,EGYVO,,0
1,201000000031,fmrz-telecom.net,2026-04-18 23:41:16,91523009,2,EGYVO,,0
1,201000000004,google.com,2026-04-05 21:19:16,91359161,2,EGYVO,,0
1,201395343539,201090000003,2026-04-14 01:45:16,536,1,EGYVO,,0
1,201751707273,201090000002,2026-04-16 16:06:16,1626,1,EGYVO,,0
1,201000000007,201090000003,2026-04-08 16:03:16,1,3,EGYVO,,0
1,201244031151,youtube.com,2026-04-11 08:52:16,24604652,2,EGYVO,,0
1,201172318783,whatsapp.net,2026-04-07 06:07:16,92965478,2,EGYVO,,0
1,201764240652,201223344556,2026-04-10 12:12:16,1,3,EGYVO,,0
1,201439641087,youtube.com,2026-04-28 23:53:16,90729293,2,EGYVO,,0
